Job ID;Internal ID;Task ID;Project ID;Source;Target;Created;Created by;Job due date;Project due date;File;Extension;Workflow;Workflow level;Job status;Job status changed;Project status;Project status changed;Linguist;Vendor;Wordcount;Currency;Rate;Price;Owner;Client;Domain;Subdomain;Cost Center
27542950;8;AlWggvndcKipiFEl_dc2;798844;en;de;4.1.2016 11:07;VasekB;30.1.2016 23:00;;charter - spanish.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;562;EUR;0.05;28.I;VasekB;;;;
27542951;9;ClWggvndcKipiFEl_dc2;798844;en;de;4.1.2016 11:07;VasekB;30.1.2016 23:00;;Context Demo File.xlsx;xlsx;Translation;1;EMAILED;;NEW;;Vasek_translator;;40;EUR;0.05;2;VasekB;;;;
27542986;1;0312ZUkNonegeBym1_dc2;798911;en;de;4.1.2016 11:12;VasekB;;30.1.2016 9:00;charter - english-import.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;543;EUR;0.05;27.15;VasekB;;;;
27542988;3;4ywgfelcSB3AjFEl_dc2;798911;en;de;4.1.2016 11:12;VasekB;;30.1.2016 9:00;charter - english-source.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;125;EUR;0.05;VI.25;VasekB;;;;
27542990;5;aywgfelcSB3AjFEl_dc2;798911;en;de;4.1.2016 11:12;VasekB;;30.1.2016 9:00;charter - english-shortened.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;104;EUR;0.05;5.II;VasekB;;;;
27542992;7;VhYmNshgob4EjFEl_dc2;798911;en;de;4.1.2016 11:12;VasekB;;30.1.2016 9:00;Pasted text.txt;txt;Translation;1;EMAILED;;NEW;;Vasek_translator;;4;EUR;0.05;0.2;VasekB;;;;
27543124;1;BX1JyVywMm8yGihH0_dc2;798925;en;de;4.1.2016 11:19;VasekB;;;Pasted text.txt;txt;Translation;1;NEW;;NEW;;Vasek_translator;;1;EUR;0.05;0.05;VasekB;;;;
27574816;1;ZDT9ntngobQ6FLEl_dc2;801082;en;de;5.1.2016 16:02;VasekB;;7.1.2016 5:00;charter - english-shortened.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;104;EUR;0.05;5.II;VasekB;;;;
27574818;3;RkvGacncSBP6FLEl_dc2;801082;en;de;5.1.2016 16:02;VasekB;;7.1.2016 5:00;charter - english-source.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;125;EUR;0.05;VI.25;VasekB;;;;
27576052;1;nyPdzDjdcK2x3MEl_dc2;801213;en;de;5.1.2016 17:55;VasekB;;25.1.2016 23:00;charter - english-source.docx;docx;Translation;1;ASSIGNED;;NEW;;Vasek_translator;;125;EUR;0.05;VI.25;VasekB;;;;
27576058;4;wyPdzDjdcK2x3MEl_dc2;801213;en;de;5.1.2016 17:55;VasekB;;25.1.2016 23:00;charter - english-source-version 2.docx;docx;Translation;1;ASSIGNED;;NEW;;Vasek_translator;;125;EUR;0.05;VI.25;VasekB;;;;
27576096;1;vuRdzDjdcKOV5MEl_dc2;801224;en;de;5.1.2016 18:05;VasekB;;;charter - english-import.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;543;EUR;0.05;27.15;VasekB;;;;
27576097;2;yuRdzDjdcKOV5MEl_dc2;801224;en;de;5.1.2016 18:05;VasekB;;;charter - english-shortened.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;104;EUR;0.05;5.II;VasekB;;;;
27576098;3;zuRdzDjdcKOV5MEl_dc2;801224;en;de;5.1.2016 18:05;VasekB;;;charter - english-source.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;125;EUR;0.05;VI.25;VasekB;;;;
27576129;4;UqxHacncSBjG7MEl_dc2;801224;en;de;5.1.2016 18:12;VasekB;;;Context Demo File.xlsx;xlsx;Translation;1;EMAILED;;NEW;;Vasek_translator;;40;EUR;0.05;2;VasekB;;;;
27576130;5;btxHacncSBPK7MEl_dc2;801224;en;de;5.1.2016 18:13;VasekB;;;Context Demo File.xlsx;xlsx;Translation;1;EMAILED;;NEW;;Vasek_translator;;31;EUR;0.05;I.55;VasekB;;;;
27815345;1;IFiLuIicSB3LreFl_dc2;808944;en;de;11.1.2016 12:10;VasekB;;20.1.2016 9:00;index.html;html;Translation;1;EMAILED;;NEW;;Vasek_translator;;528;EUR;0.05;26.IV;VasekB;;;;
27815352;4;EUzZyildcKOPreFl_dc2;808944;en;de;11.1.2016 12:10;VasekB;;20.1.2016 9:00;charter - english-shortened.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;104;EUR;0.05;5.II;VasekB;;;;
27815362;7;C3jLuIicSBPSreFl_dc2;808944;en;de;11.1.2016 12:11;VasekB;;20.1.2016 9:00;Pasted text.txt;txt;Translation;1;EMAILED;;NEW;;Vasek_translator;;7;EUR;0.05;0.35;VasekB;;;;
